Setting,Model,Pattern,Missing_Rate,Epochs,Seed,Embed_Size,N_Steps,Align_Type,MAE,MSE,GPU_Usage,Train_Time
ETTh1_missing_0.1_point_training_5_SAITS_1,SAITS,point,0.1,5,1,256,96,contras_2,0.3905,0.3181,761.0 MB,1.46s
ETTh1_missing_0.1_point_training_5_Transformer_1,Transformer,point,0.1,5,1,256,96,contras_2,0.3348,0.2360,653.0 MB,1.04s
ETTh1_missing_0.1_point_training_5_DLinear_1,DLinear,point,0.1,5,1,256,96,contras_2,0.6946,1.0096,593.0 MB,0.68s
ETTh1_missing_0.1_point_training_5_TimesNet_1,TimesNet,point,0.1,5,1,256,96,contras_2,0.4370,0.3478,1003.0 MB,2.17s
ETTh1_missing_0.1_point_training_5_FreTS_1,FreTS,point,0.1,5,1,256,96,contras_2,0.6109,0.6504,7223.0 MB,1.87s
ETTh1_missing_0.1_point_training_5_PatchTST_1,PatchTST,point,0.1,5,1,256,96,contras_2,0.7477,0.9436,1925.0 MB,1.16s
ETTh1_missing_0.1_point_training_5_SCINet_1,SCINet,point,0.1,5,1,256,96,contras_2,0.7373,0.9875,1383.0 MB,2.12s
ETTh1_missing_0.1_point_training_5_iTransformer_1,iTransformer,point,0.1,5,1,256,96,contras_2,0.3894,0.2978,565.0 MB,1.03s
ETTh1_missing_0.1_point_training_5_CSDI_1,CSDI,point,0.1,5,1,256,96,contras_2,32.8250,3056.6612,1163.0 MB,3.34s
ETTh1_missing_0.1_point_training_5_GPVAE_1,GPVAE,point,0.1,5,1,256,96,contras_2,0.8059,1.1244,3683.0 MB,4.32s
ETTh1_missing_0.1_point_training_5_TimeMixer_1,TimeMixer,point,0.1,5,1,256,96,contras_2,0.7646,1.0855,717.0 MB,1.59s
ETTh1_missing_0.1_point_training_5_USGAN_1,USGAN,point,0.1,5,1,256,96,contras_2,0.7041,0.8726,963.0 MB,19.85s
ETTh1_missing_0.1_point_training_5_CSDI_1,CSDI,point,0.1,5,1,256,96,contras_2,32.8250,3056.6612,1163.0 MB,3.48s
ETTh1_missing_0.1_point_training_5_saits_my_1,saits_my,point,0.1,5,1,256,96,contras_2,0.3927,0.3299,907.0 MB,1.48s
ETTh1_missing_0.1_point_training_5_timesnet_my_1,timesnet_my,point,0.1,5,1,256,96,contras_2,0.4020,0.2872,1113.0 MB,2.47s
ETTh1_missing_0.1_point_training_5_dlinear_my_1,dlinear_my,point,0.1,5,1,256,96,contras_2,0.7534,1.0467,621.0 MB,1.09s
ETTh1_missing_0.1_point_training_5_tcn_my_1,tcn_my,point,0.1,5,1,256,96,contras_2,0.6646,0.7401,763.0 MB,4.85s
My_comparison_ETTh1_missing_0.1_point_training_5_SAITS_1,SAITS,point,0.1,5,1,256,96,contras_2,0.3905,0.3181,761.0 MB,1.43s
My_comparison_ETTh1_missing_0.1_point_training_5_Transformer_1,Transformer,point,0.1,5,1,256,96,contras_2,0.3348,0.2360,653.0 MB,0.99s
My_comparison_ETTh1_missing_0.1_point_training_5_DLinear_1,DLinear,point,0.1,5,1,256,96,contras_2,0.6946,1.0096,593.0 MB,0.70s
My_comparison_ETTh1_missing_0.1_point_training_5_TimesNet_1,TimesNet,point,0.1,5,1,256,96,contras_2,0.4370,0.3478,1033.0 MB,1.86s
My_comparison_ETTh1_missing_0.1_point_training_5_FreTS_1,FreTS,point,0.1,5,1,256,96,contras_2,0.6109,0.6504,7223.0 MB,1.87s
My_comparison_ETTh1_missing_0.1_point_training_5_PatchTST_1,PatchTST,point,0.1,5,1,256,96,contras_2,0.7475,0.9436,1925.0 MB,1.31s
My_comparison_ETTh1_missing_0.1_point_training_5_SCINet_1,SCINet,point,0.1,5,1,256,96,contras_2,0.7373,0.9875,1383.0 MB,2.08s
My_comparison_ETTh1_missing_0.1_point_training_5_iTransformer_1,iTransformer,point,0.1,5,1,256,96,contras_2,0.3894,0.2978,565.0 MB,1.20s
My_comparison_ETTh1_missing_0.1_point_training_5_CSDI_1,CSDI,point,0.1,5,1,256,96,contras_2,32.8250,3056.6612,1163.0 MB,3.32s
My_comparison_ETTh1_missing_0.1_point_training_5_GPVAE_1,GPVAE,point,0.1,5,1,256,96,contras_2,0.8059,1.1244,3683.0 MB,4.45s
My_comparison_ETTh1_missing_0.1_point_training_5_TimeMixer_1,TimeMixer,point,0.1,5,1,256,96,contras_2,0.7646,1.0855,717.0 MB,1.62s
My_comparison_ETTh1_missing_0.1_point_training_5_USGAN_1,USGAN,point,0.1,5,1,256,96,contras_2,0.7041,0.8726,963.0 MB,23.31s
My_comparison_ETTh1_missing_0.1_point_training_5_CSDI_1,CSDI,point,0.1,5,1,256,96,contras_2,32.8250,3056.6612,1163.0 MB,3.17s
My_comparison_ETTh1_missing_0.1_point_training_5_saits_my_1,saits_my,point,0.1,5,1,256,96,contras_2,0.3927,0.3299,907.0 MB,1.59s
My_comparison_ETTh1_missing_0.1_point_training_5_timesnet_my_1,timesnet_my,point,0.1,5,1,256,96,contras_2,0.4020,0.2872,1113.0 MB,2.17s
My_comparison_ETTh1_missing_0.1_point_training_5_dlinear_my_1,dlinear_my,point,0.1,5,1,256,96,contras_2,0.7534,1.0467,621.0 MB,0.93s
My_comparison_ETTh1_missing_0.1_point_training_5_tcn_my_1,tcn_my,point,0.1,5,1,256,96,contras_2,0.6646,0.7401,763.0 MB,4.77s
My_comparison_ETTh1_missing_0.1_point_training_5_tcn_1,tcn,point,0.1,5,1,256,96,contras_2,0.5500,0.5202,615.0 MB,3.26s
